antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.025714467570492013,0.04315447775443956,0.02170453822162816,0.844059405940594,19.559022605800404,1.0,0.020594843802890103,6.1359617617016875,0.9739164436488241,0.46018893387314447,0.8370263637818581,0.6735046292239844
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.04315447775443956,0.025714467570492013,0.02170453822162816,0.5029498525073747,19.559022605800404,1.0,0.020594843802890103,1.9601352848285059,0.9916675981462483,0.46018893387314447,0.489831131687683,0.6735046292239844
"ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,0.022404684615874228,0.038953599388963145,0.01686716313410986,0.7528409090909092,19.32660706327986,1.0,0.01599442002514703,3.8883716438515528,0.9699901846007564,0.3791130185979972,0.7428229367989452,0.5929237225193108
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.038953599388963145,0.022404684615874228,0.01686716313410986,0.43300653594771243,19.32660706327986,1.0,0.01599442002514703,1.7241738703604754,0.9866931085027497,0.3791130185979972,0.4200120897372556,0.5929237225193108
"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.020431544777544396,0.04315447775443956,0.01686716313410986,0.8255451713395638,19.130000275687152,1.0,0.015985450489518483,5.484775225729015,0.9674934716245539,0.36103542234332425,0.8176771227909192,0.6082003142833512
ROSES REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",0.04315447775443956,0.020431544777544396,0.01686716313410986,0.39085545722713866,19.130000275687152,1.0,0.015985450489518483,1.608105115353087,0.9904692694939057,0.36103542234332425,0.3781501032160868,0.6082003142833512
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS,0.034561772006874165,0.02335942969893705,0.015021322640188402,0.434622467771639,18.605868095804414,1.0,0.014213979356723135,1.7274131259722385,0.9801284930808839,0.35014836795252224,0.4210996865980331,0.5388371194444026
JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS,0.02335942969893705,0.034561772006874165,0.015021322640188402,0.6430517711171662,18.605868095804414,1.0,0.014213979356723135,2.704700989873871,0.968886143316661,0.35014836795252224,0.6302733633980615,0.5388371194444026
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.038953599388963145,0.04315447775443956,0.03029724396919356,0.7777777777777779,18.02310717797444,1.0,0.0286162217309072,4.305804850105024,0.9827992393062928,0.5847665847665848,0.7677553826027186,0.7399213372664701
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04315447775443956,0.038953599388963145,0.03029724396919356,0.7020648967551623,18.023107177974435,1.0,0.0286162217309072,3.225690394130114,0.9871140633463523,0.5847665847665848,0.6899888464746244,0.7399213372664701
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.031379288396664755,0.04315447775443956,0.024377824454204063,0.7768762677484788,18.00221687698577,1.0,0.02302366765114005,4.288407658791469,0.9750475851909601,0.4860406091370559,0.7668132137694639,0.6708865114553604
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.04315447775443956,0.031379288396664755,0.024377824454204063,0.5648967551622419,18.002216876985766,1.0,0.02302366765114005,2.2261859066680048,0.9870467738599102,0.4860406091370559,0.5508012170031531,0.6708865114553604
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.02921519954172236,0.02927884921392655,0.015084972312392591,0.5163398692810458,17.63525149190111,1.0,0.014229584890255727,2.007031568517152,0.9716833152406658,0.3475073313782991,0.501751733412531,0.5157786302926968
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,0.02927884921392655,0.02921519954172236,0.015084972312392591,0.5152173913043478,17.63525149190111,1.0,0.014229584890255727,2.0025157318870304,0.971747028001484,0.3475073313782991,0.500628142852256,0.5157786302926968
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.02927884921392655,0.03488002036789511,0.017694608872764306,0.6043478260869565,17.326475721993017,1.0,0.01667336201583402,2.43931423423499,0.9707060133808892,0.38082191780821917,0.5900487169855684,0.5558235480799746
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.03488002036789511,0.02927884921392655,0.017694608872764306,0.5072992700729927,17.326475721993017,1.0,0.01667336201583402,1.970204409743586,0.9763396036451851,0.38082191780821917,0.4924384520435898,0.5558235480799746
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.026669212653554833,0.03888994971675896,0.01782190821717268,0.6682577565632458,17.183302149533805,1.0,0.01678474387809038,2.897159072436532,0.9676093475580133,0.37333333333333335,0.6548342790308049,0.5632614478397244
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.03888994971675896,0.026669212653554833,0.01782190821717268,0.4582651391162029,17.183302149533805,1.0,0.01678474387809038,1.7966921784552206,0.979912724692526,0.37333333333333335,0.4434216322688114,0.5632614478397244
JUMBO BAG APPLES,JUMBO BAG PEARS,0.03984469479982178,0.026987461014575775,0.017758258544968493,0.44568690095846647,16.51459174754355,1.0,0.016682951397420633,1.755348269178316,0.9784328470804033,0.36186770428015563,0.4303124812558688,0.5518528844414974
JUMBO BAG PEARS,JUMBO BAG APPLES,0.026987461014575775,0.03984469479982178,0.017758258544968493,0.6580188679245282,16.51459174754355,1.0,0.016682951397420633,2.8076265476198308,0.9655039902013399,0.36186770428015563,0.64382727437602,0.5518528844414974
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.03488002036789511,0.02921519954172236,0.01648526510088473,0.4726277372262773,16.177460521921663,1.0,0.015466238345817335,1.8407960922184639,0.9720921965860302,0.34625668449197855,0.456756778098744,0.518448944865862
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.02921519954172236,0.03488002036789511,0.01648526510088473,0.5642701525054467,16.177460521921663,1.0,0.015466238345817335,2.214950353255681,0.9664197467108562,0.34625668449197855,0.548522612016954,0.518448944865862
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.023168480682324487,0.045955063331423844,0.016676214117497295,0.7197802197802198,15.662696721560987,1.0,0.015611505120448203,3.4046309504643304,0.9583577266263342,0.3179611650485437,0.706282409297954,0.5413305531034063
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.045955063331423844,0.023168480682324487,0.016676214117497295,0.3628808864265928,15.662696721560986,1.0,0.015611505120448203,1.5332007759725255,0.9812473167345621,0.3179611650485437,0.34776970135193847,0.5413305531034063
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.03888994971675896,0.02819680478645535,0.017058112150722424,0.4386252045826514,15.555847831146808,1.0,0.01596153983040391,1.7311129803949732,0.9735778887021844,0.3409669211195929,0.42233695239704194,0.5217956722687523
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.02819680478645535,0.03888994971675896,0.017058112150722424,0.6049661399548533,15.555847831146808,1.0,0.01596153983040391,2.4329814415741473,0.9628652160992263,0.3409669211195929,0.5889816572735562,0.5217956722687523
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.04722805677550761,0.03990834447202597,0.02915154986951817,0.6172506738544474,15.466707076438952,1.0,0.027266756310976813,2.508408480287876,0.9817092150560941,0.5027442371020856,0.6013408470516589,0.6738565968953257
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.03990834447202597,0.04722805677550761,0.02915154986951817,0.730462519936204,15.46670707643895,1.0,0.027266756310976813,3.534840286400926,0.9742246910749583,0.5027442371020856,0.7171017870744674,0.6738565968953257
LARGE WHITE HEART OF WICKER,SMALL WHITE HEART OF WICKER,0.031888485774298266,0.03615301381197887,0.01763095920056012,0.5528942115768463,15.293170700851816,1.0,0.016478094333918822,2.1557470539294576,0.9653963642577916,0.3497474747474747,0.5361236847443592,0.5202851339574373
SMALL WHITE HEART OF WICKER,LARGE WHITE HEART OF WICKER,0.03615301381197887,0.031888485774298266,0.01763095920056012,0.4876760563380282,15.293170700851816,1.0,0.016478094333918822,1.8896472167704421,0.9696677474979206,0.3497474747474747,0.4708006917243104,0.5202851339574373
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE IVORY,0.048246451530774614,0.026987461014575775,0.018012857233785245,0.3733509234828496,13.834236695375118,1.0,0.016710808004006844,1.5527231674756876,0.9747434777379013,0.3147942157953281,0.3559701942067802,0.5204018768357643
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED,0.026987461014575775,0.048246451530774614,0.018012857233785245,0.6674528301886792,13.834236695375118,1.0,0.016710808004006844,2.8620106705741244,0.953446668582118,0.3147942157953281,0.650595292924118,0.5204018768357643
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.04391827382088982,0.048246451530774614,0.02889695118070142,0.6579710144927536,13.63770792703912,1.0,0.02677805031148657,2.7826692730668032,0.969241300065371,0.4567404426559356,0.6406328234264462,0.6284578027608887
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.048246451530774614,0.04391827382088982,0.02889695118070142,0.5989445910290238,13.63770792703912,1.0,0.02677805031148657,2.3839143040913338,0.973649004767066,0.4567404426559356,0.5805218340760929,0.6284578027608887
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.048246451530774614,0.03125198905225638,0.02036789510534021,0.4221635883905014,13.5083750248537,1.0,0.018860097530290224,1.6765091148365063,0.9729113722998729,0.34445640473627565,0.40352247944830266,0.5369473746433159
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.03125198905225638,0.048246451530774614,0.02036789510534021,0.6517311608961304,13.5083750248537,1.0,0.018860097530290224,2.7328128204584194,0.9558438731931669,0.34445640473627565,0.6340766581180434,0.5369473746433159
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.030742791674622877,0.04219973267137674,0.01750365985615174,0.5693581780538303,13.491985422931716,1.0,0.01620632226591083,2.224122736152524,0.9552489433340499,0.31572904707233057,0.5503845252129005,0.4920697375940343
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.04219973267137674,0.030742791674622877,0.01750365985615174,0.41478129713423834,13.491985422931714,1.0,0.01620632226591083,1.6562307451539307,0.9666753661012034,0.31572904707233057,0.3962193958022077,0.4920697375940343
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.03233403347972758,0.03888994971675896,0.016930812806314047,0.5236220472440944,13.464199646893565,1.0,0.01567334387014744,2.0175367997681257,0.9566616996348662,0.3118405627198124,0.5043460916723157,0.4794869647022436
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.03888994971675896,0.03233403347972758,0.016930812806314047,0.4353518821603928,13.464199646893563,1.0,0.01567334387014744,1.7137504508518446,0.963187272817806,0.3118405627198124,0.4164844715267994,0.4794869647022436
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY,0.04391827382088982,0.026987461014575775,0.01578511870663866,0.35942028985507246,13.318047579983594,1.0,0.014599876004069933,1.51895622601797,0.9674004780404208,0.2863741339491917,0.3416531807361185,0.47216297511621547
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.026987461014575775,0.04391827382088982,0.01578511870663866,0.5849056603773585,13.318047579983594,1.0,0.014599876004069933,2.303287794886038,0.9505673173706521,0.2863741339491917,0.5658380154576046,0.47216297511621547
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.027433008720005092,0.04321812742664375,0.015403220673413532,0.5614849187935035,12.99188447594217,1.0,0.014217617406856124,2.181867656503262,0.9490645688200424,0.27880184331797236,0.5416770595506076,0.4589456994556619
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.04321812742664375,0.027433008720005092,0.015403220673413532,0.35640648011782033,12.99188447594217,1.0,0.014217617406856124,1.5111510001810449,0.9647223663897185,0.27880184331797236,0.3382527623776882,0.4589456994556619
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.04391827382088982,0.03125198905225638,0.017567309528355928,0.39999999999999997,12.799185336048879,1.0,0.016194776115711483,1.614580018246239,0.9642167631981893,0.3049723756906077,0.3806438896189224,0.4810590631364562
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.03125198905225638,0.04391827382088982,0.017567309528355928,0.5621181262729124,12.799185336048879,1.0,0.016194776115711483,2.183423849088107,0.9516097240473061,0.3049723756906077,0.5420037202498985,0.4810590631364562
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.03615301381197887,0.03698045955063332,0.016357965756476356,0.4524647887323944,12.235239751763594,1.0,0.015021010691568984,1.7588266848078464,0.9527122881191525,0.2881165919282511,0.431439147110023,0.4474027902353882
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,0.03698045955063332,0.03615301381197887,0.016357965756476356,0.4423407917383821,12.235239751763592,1.0,0.015021010691568984,1.7283799351087663,0.9535308776595061,0.2881165919282511,0.4214235078255115,0.4474027902353882
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.031124689707848003,0.04219973267137674,0.015976067723251226,0.5132924335378324,12.163404861708726,1.0,0.01466261413810049,1.9679173559819194,0.9472696521756884,0.2785793562708102,0.491848579433339,0.4459373178247231
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.04219973267137674,0.031124689707848003,0.015976067723251226,0.3785822021116139,12.163404861708726,1.0,0.01466261413810049,1.5591367250575165,0.9582229296529989,0.2785793562708102,0.35861943091417464,0.4459373178247231
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.033988924957036475,0.04219973267137674,0.016676214117497295,0.49063670411985016,11.626535834731472,1.0,0.01524189057052287,1.8803872895348706,0.9461484256762568,0.2802139037433155,0.4681946609799951,0.4429050790584168
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.04219973267137674,0.033988924957036475,0.016676214117497295,0.3951734539969834,11.62653583473147,1.0,0.01524189057052287,1.5971704308066952,0.9542593471882344,0.2802139037433155,0.3738927413682945,0.4429050790584168
GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,0.04022659283304691,0.03615301381197887,0.016803513461905673,0.41772151898734183,11.554265466215012,1.0,0.015349200895603678,1.6553024328011667,0.9517370133458734,0.2820512820512821,0.39588078880077443,0.441255125690854
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,0.03615301381197887,0.04022659283304691,0.016803513461905673,0.4647887323943662,11.554265466215012,1.0,0.015349200895603678,1.7932608397066758,0.9477146156139752,0.2820512820512821,0.4423566400058284,0.441255125690854
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",LUNCH BAG PINK POLKADOT,0.025587168226083635,0.05397492202915155,0.015912418051047036,0.6218905472636815,11.521842438749648,1.0,0.014531352641097388,2.5019873772650065,0.9371883205957281,0.25,0.600317727784411,0.45835093400919924
"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",LUNCH BAG PINK POLKADOT,0.026287314620329707,0.05397492202915155,0.01616701673986379,0.6150121065375302,11.394404723833889,1.0,0.01474816098287572,2.4572852654211346,0.9368652996686305,0.25223435948361467,0.5930468415401425,0.45727020421216136
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.037362357583858447,0.03755330660047101,0.015976067723251226,0.42759795570698467,11.386426240868536,1.0,0.014572987653588157,1.6814172887664391,0.947579952604288,0.2710583153347732,0.40526363878793964,0.426510842260272
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.03755330660047101,0.037362357583858447,0.015976067723251226,0.42542372881355933,11.386426240868534,1.0,0.014572987653588157,1.6753870472729309,0.947767952065819,0.2710583153347732,0.403122996785892,0.426510842260272
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",LUNCH BAG PINK POLKADOT,0.030806441346827064,0.05397492202915155,0.018649353955827126,0.6053719008264462,11.215799450335256,1.0,0.016986578686136504,2.397257265643406,0.93979169837304,0.2820019249278152,0.582856619382648,0.4754453843754872
LUNCH BAG PINK POLKADOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",0.05397492202915155,0.030806441346827064,0.018649353955827126,0.3455188679245283,11.215799450335256,1.0,0.016986578686136504,1.480857905834037,0.9628075214375482,0.2820019249278152,0.3247157637067225,0.4754453843754872
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.055566163834256256,0.03297053020176946,0.01992234739991089,0.3585337915234822,10.874371425917817,1.0,0.018090301517017075,1.5075298698818844,0.9614656178097253,0.29035250463821893,0.3366632263954077,0.4813904478852932
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.03297053020176946,0.055566163834256256,0.01992234739991089,0.6042471042471043,10.874371425917817,1.0,0.018090301517017075,2.386423059189538,0.9389999892753705,0.29035250463821893,0.5809628153946795,0.4813904478852932
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.05435682006237668,0.04990134300808351,0.02915154986951817,0.5362997658079625,10.747201046695023,1.0,0.02643907154675684,2.048950134017921,0.959085347268413,0.388135593220339,0.5119451745567695,0.5602417196386751
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.04990134300808351,0.05435682006237668,0.02915154986951817,0.5841836734693877,10.747201046695023,1.0,0.02643907154675684,2.2741848253714623,0.9545877272303083,0.388135593220339,0.5602820013379249,0.5602417196386751
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0601489402329578,0.043090828082235376,0.02781490675323022,0.4624338624338625,10.731607699702236,1.0,0.025223039110323187,1.7800771013037155,0.9648521512250141,0.3687763713080169,0.43822658059720726,0.553964346283401
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.043090828082235376,0.0601489402329578,0.02781490675323022,0.6454948301329395,10.731607699702236,1.0,0.025223039110323187,2.6511631977595322,0.9476524454562033,0.3687763713080169,0.6228070754583918,0.553964346283401
LUNCH BAG APPLE DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.047482655464324355,0.035134619056711856,0.017758258544968493,0.3739946380697051,10.64461912810351,1.0,0.016089973533428358,1.5413052980378865,0.9512223862848438,0.27379784102060845,0.35119927163487946,0.4397147103392004
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG APPLE DESIGN,0.035134619056711856,0.047482655464324355,0.017758258544968493,0.5054347826086957,10.64461912810351,1.0,0.016089973533428358,1.9259691362040035,0.939048948529104,0.27379784102060845,0.48078088002440483,0.4397147103392004
HAND OVER THE CHOCOLATE   SIGN,GIN + TONIC DIET METAL SIGN,0.03698045955063332,0.04022659283304691,0.015594169690026097,0.4216867469879518,10.482785572670428,1.0,0.01410657180090381,1.6596081832261895,0.9393428382588991,0.253099173553719,0.3974481385985616,0.4046724874180265
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.04022659283304691,0.03698045955063332,0.015594169690026097,0.3876582278481013,10.482785572670428,1.0,0.01410657180090381,1.572683073808785,0.9425198715337318,0.253099173553719,0.3641439800212504,0.4046724874180265
PLEASE ONE PERSON METAL SIGN,COOK WITH WINE METAL SIGN,0.0424543313601935,0.03615301381197887,0.01584876837884285,0.3733133433283358,10.325925945477964,1.0,0.014313916350799444,1.538004640639737,0.9431992794362773,0.2525354969574036,0.34980690332374587,0.4058468125092383
COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.03615301381197887,0.0424543313601935,0.01584876837884285,0.4383802816901408,10.325925945477964,1.0,0.014313916350799444,1.7049715980796551,0.9370329498672229,0.2525354969574036,0.41347996580921315,0.4058468125092383
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG CARS BLUE,0.02813315511425116,0.05613901088409395,0.015912418051047036,0.5656108597285068,10.075183919721734,1.0,0.014333050549884187,2.1728466520272423,0.9268206169362762,0.23277467411545621,0.5397742408250435,0.42452878587332366
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",LUNCH BAG  BLACK SKULL.,0.025205270192858505,0.0633950735153714,0.015912418051047036,0.6313131313131313,9.958394182791773,1.0,0.014314528094195972,2.5403804855336496,0.9228427032321254,0.2189141856392294,0.6063581791410537,0.44115857368869416
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,0.029978995608172618,0.0633950735153714,0.018649353955827126,0.6220806794055201,9.812760596526232,1.0,0.016748833325330028,2.4783197773834833,0.9258478675660424,0.24957410562180576,0.596500819173641,0.4581286931164147
LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,0.03787155496149195,0.047482655464324355,0.017440010183947554,0.4605042016806723,9.698366638880755,1.0,0.015641768187812807,1.7655695327063148,0.932193470253398,0.2567947516401125,0.43361052539960193,0.4138982134408724
LUNCH BAG APPLE DESIGN,LUNCH BAG ALPHABET DESIGN,0.047482655464324355,0.03787155496149195,0.017440010183947554,0.36729222520107246,9.698366638880755,1.0,0.015641768187812807,1.520652161014252,0.9415994985867268,0.2567947516401125,0.3423874140072803,0.4138982134408724
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG CARS BLUE,0.029978995608172618,0.05613901088409395,0.01616701673986379,0.5392781316348196,9.606121004665138,1.0,0.014484025579122383,2.048656801260792,0.9235879471758944,0.23111919927206556,0.51187529341929,0.41362999552262525
"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,0.026287314620329707,0.0633950735153714,0.01572146903443447,0.5980629539951573,9.433902680941683,1.0,0.014054982791556972,2.3302279195069366,0.9181346242503188,0.21256454388984505,0.5708574291687337,0.4230274609333216
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",LUNCH BAG SUKI DESIGN,0.030806441346827064,0.05321112596270129,0.015339571001209343,0.4979338842975206,9.3577024595674,1.0,0.013700325570240758,1.8857852470537142,0.9215250699851514,0.22335495829471733,0.46971692478644345,0.39310569812962154
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG RED RETROSPOT,0.02813315511425116,0.07128763286869072,0.018649353955827126,0.6628959276018099,9.298890998707176,1.0,0.01664380792260446,2.75497225685932,0.9182948252018356,0.23089046493301812,0.6370199382189045,0.4622515352294764
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",LUNCH BAG  BLACK SKULL.,0.026096365603717142,0.0633950735153714,0.015339571001209343,0.5878048780487805,9.272090802233324,1.0,0.013685189985277686,2.2722368038976195,0.9160551706408147,0.20686695278969958,0.5599050247383207,0.4148863747673621
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.042899879065622815,0.055566163834256256,0.022022786582649098,0.5133531157270029,9.238591983032007,1.0,0.01963900487401892,1.9406963584625343,0.9317294796150228,0.2880932556203164,0.48472104065149907,0.4548437972678543
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.055566163834256256,0.042899879065622815,0.022022786582649098,0.3963344788087056,9.238591983032007,1.0,0.01963900487401892,1.5854808454947082,0.944225379766215,0.2880932556203164,0.36927651769392655,0.4548437972678543
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.037362357583858447,0.053720323340334795,0.01845840493921456,0.49403747870528103,9.196472544951032,1.0,0.016451287009052476,1.8702564653172504,0.9258547729573458,0.25416301489921117,0.4653139724180178,0.4188196872199391
